SO2,700_nm,710_nm,717_nm,725_nm,732_nm,740_nm,743_nm,748_nm,751_nm,753_nm,758_nm,763_nm,768_nm,780_nm,792_nm,798_nm,805_nm,815_nm,830_nm,850_nm
0.65,0.017401246636277796,0.01680112400340504,0.016394846943508522,0.015938357948273658,0.015598329570317562,0.015392929353594306,0.015352127500557953,0.015304622740331517,0.015297048357062602,0.015283311798658543,0.015170933424390246,0.014873775970738622,0.014353565181698296,0.013451149428664348,0.012991144196480384,0.01281067106758924,0.012605221460319432,0.012354074094688156,0.012337407524986469,0.01233440267126848
0.68,0.01733308742961175,0.016745551966422717,0.016347099069452708,0.01589957877244389,0.015566458385452444,0.01536257696616547,0.01531958934975423,0.015266995349431052,0.015254697832368649,0.01523855711549296,0.015126235832059085,0.014833903007017693,0.014320718921629458,0.013434591274275511,0.012986803480657127,0.012811796572610636,0.012610038839299897,0.012362213616509552,0.012350137874858096,0.012351017010288014
0.69,0.017310367694056403,0.016727027954095273,0.016331183111434104,0.015886652380500636,0.015555834657164072,0.01535245950368919,0.015308743299486324,0.015254452885797564,0.015240580990803998,0.0152236388877711,0.015111336634615363,0.014820612019110715,0.01430977016827318,0.013429071889479232,0.012985356575382708,0.012812171740951101,0.012611644632293386,0.012364926790450016,0.012354381324815306,0.012356555123294526
0.695,0.017299007826278728,0.016717765947931555,0.0163232251324248,0.015880189184529006,0.015550522793019887,0.01534740077245105,0.015303320274352371,0.015248181653980819,0.015233522570021673,0.01521617977391017,0.015103887035893503,0.014813966525157228,0.01430429579159504,0.013426312197081092,0.0129846331227455,0.012812359325121333,0.01261244752879013,0.012366283377420248,0.01235650304979391,0.012359324179797782
0.699,0.017289919932056586,0.01671035634300058,0.01631685874921736,0.015875018627751706,0.015546273301704537,0.015343353787460538,0.015298981854245207,0.015243164668527424,0.015227875833395813,0.015210212482821426,0.015097927356916015,0.014808650129994437,0.014299916290252528,0.01342410444316258,0.012984054360635731,0.01281250939245752,0.012613089845987526,0.012367368646996434,0.012358200429776794,0.012361539425000387
0.7,0.017287647958501053,0.016708503941767833,0.0163152671534155,0.01587372598855738,0.0155452109288757,0.015342342041212912,0.015297897249218418,0.015241910422164075,0.015226464149239347,0.01520872066004924,0.015096437437171642,0.01480732103120374,0.014298821414916901,0.013423552504682953,0.01298390967010829,0.012812546909291567,0.012613250425286875,0.01236763996439048,0.012358624774772516,0.012362093236301037
0.701,0.017285375984945516,0.01670665154053509,0.01631367555761364,0.015872433349363054,0.015544148556046864,0.015341330294965283,0.015296812644191627,0.015240656175800726,0.015225052465082881,0.015207228837277055,0.01509494751742727,0.014805991932413042,0.014297726539581272,0.013423000566203325,0.012983764979580849,0.012812584426125612,0.012613411004586223,0.012367911281784529,0.012359049119768236,0.012362647047601689
0.705,0.017276288090723377,0.01669924193560411,0.016307309174406197,0.01586726279258575,0.015539899064731515,0.015337283309974772,0.015292474224084463,0.01523563919034733,0.015219405728457022,0.01520126154618831,0.015088987838449782,0.01480067553725025,0.01429334703823876,0.013420792812284813,0.01298318621747108,0.012812734493461798,0.012614053321783619,0.012368996551360714,0.01236074649975112,0.012364862292804294
0.71,0.017264928222945702,0.016689979929440393,0.016299351195396893,0.015860799596614125,0.015534587200587329,0.015332224578736632,0.01528705119895051,0.015229367958530587,0.015212347307674696,0.01519380243232738,0.015081538239727922,0.014794030043296762,0.014287872661560622,0.013418033119886675,0.012982462764833872,0.012812922077632032,0.012614856218280363,0.012370353138330946,0.012362868224729725,0.012367631349307549
0.72,0.017242208487390356,0.01667145591711295,0.01628343523737829,0.01584787320467087,0.015523963472298957,0.015322107116260354,0.015276205148682604,0.015216825494897099,0.015198230466110045,0.01517888420460552,0.0150666390422842,0.014780739055389786,0.014276923908204342,0.013412513735090396,0.012981015859559453,0.012813297245972497,0.01261646201127385,0.012373066312271412,0.012367111674686933,0.012373169462314062
0.75,0.01717404928072431,0.016615883880130623,0.016235687363322475,0.0158090940288411,0.01549209228743384,0.015291754728831515,0.015243666997878883,0.015179198103996634,0.015155879941416091,0.015134129521439938,0.015021941449953037,0.014740866091668855,0.014244077648135504,0.013395955580701557,0.012976675143736197,0.012814422750993893,0.012621279390254316,0.012381205834092806,0.012379842024558562,0.012389783801333596
