skin,fat,muscle,ijv,cca
25.0,18.666666666666668,9.0,52.0,52.0
25.0,18.666666666666668,9.0,44.75,44.75
25.0,18.666666666666668,9.0,37.5,37.5
25.0,18.666666666666668,9.0,30.25,30.25
25.0,18.666666666666668,9.0,23.0,23.0
25.0,18.666666666666668,7.75,52.0,52.0
25.0,18.666666666666668,7.75,44.75,44.75
25.0,18.666666666666668,7.75,37.5,37.5
25.0,18.666666666666668,7.75,30.25,30.25
25.0,18.666666666666668,7.75,23.0,23.0
25.0,18.666666666666668,6.5,52.0,52.0
25.0,18.666666666666668,6.5,44.75,44.75
25.0,18.666666666666668,6.5,37.5,37.5
25.0,18.666666666666668,6.5,30.25,30.25
25.0,18.666666666666668,6.5,23.0,23.0
25.0,18.666666666666668,5.25,52.0,52.0
25.0,18.666666666666668,5.25,44.75,44.75
25.0,18.666666666666668,5.25,37.5,37.5
25.0,18.666666666666668,5.25,30.25,30.25
25.0,18.666666666666668,5.25,23.0,23.0
25.0,18.666666666666668,4.0,52.0,52.0
25.0,18.666666666666668,4.0,44.75,44.75
25.0,18.666666666666668,4.0,37.5,37.5
25.0,18.666666666666668,4.0,30.25,30.25
25.0,18.666666666666668,4.0,23.0,23.0
25.0,16.5,9.0,52.0,52.0
25.0,16.5,9.0,44.75,44.75
25.0,16.5,9.0,37.5,37.5
25.0,16.5,9.0,30.25,30.25
25.0,16.5,9.0,23.0,23.0
25.0,16.5,7.75,52.0,52.0
25.0,16.5,7.75,44.75,44.75
25.0,16.5,7.75,37.5,37.5
25.0,16.5,7.75,30.25,30.25
25.0,16.5,7.75,23.0,23.0
25.0,16.5,6.5,52.0,52.0
25.0,16.5,6.5,44.75,44.75
25.0,16.5,6.5,37.5,37.5
25.0,16.5,6.5,30.25,30.25
25.0,16.5,6.5,23.0,23.0
25.0,16.5,5.25,52.0,52.0
25.0,16.5,5.25,44.75,44.75
25.0,16.5,5.25,37.5,37.5
25.0,16.5,5.25,30.25,30.25
