SO2,700_nm,710_nm,717_nm,725_nm,732_nm,740_nm,743_nm,748_nm,751_nm,753_nm,758_nm,763_nm,768_nm,780_nm,792_nm,798_nm,805_nm,815_nm,830_nm,850_nm
0.65,0.017532436977719657,0.016920548157172484,0.01650809509397364,0.016045648451971335,0.015701962963573374,0.01550226154712919,0.015467450279116092,0.015432110500471052,0.015434061539434695,0.015425751116821334,0.015318636275832107,0.015020311040506065,0.014496585016535505,0.01358577916671086,0.01311928686555015,0.012938970554891566,0.012734208955482223,0.012485943767571877,0.012478104329079493,0.012483775572617317
0.68,0.017457026791621054,0.016859064201362253,0.01645526765884806,0.016002743831904358,0.015666701227126864,0.015468680182314306,0.01543145062290772,0.015390480195645005,0.015387205639773301,0.015376235297148775,0.01526918362048699,0.014976196272133972,0.014460244473480622,0.013567459506535977,0.013114484371447825,0.012940215794489706,0.01273953882158827,0.012494949195970016,0.012492188971490655,0.01250215739451127
0.69,0.017431890062921517,0.01683856954942551,0.016437658513806196,0.01598844229188203,0.015654947314978025,0.015457486394042678,0.01541945073750493,0.015376603427369656,0.015371587006552835,0.01535973002392459,0.01525269940203862,0.014961491349343273,0.014448130959128993,0.013561352953144349,0.013112883540080384,0.012940630874355753,0.012741315443623618,0.012497951005436063,0.012496883852294376,0.012508284668475922
0.695,0.01741932169857175,0.016828322223457134,0.016428853941285265,0.015981291521870868,0.01564907035890361,0.015451889499906864,0.015413450794803534,0.015369665043231982,0.015363777689942603,0.015351477387312497,0.015244457292814434,0.014954138887947926,0.014442074201953179,0.013558299676448535,0.013112083124396663,0.012940838414288777,0.012742203754641293,0.012499451910169086,0.012499231292696237,0.012511348305458247
0.699,0.017409267007091937,0.01682012436268244,0.01642181028326852,0.01597557090586194,0.015644368794044072,0.015447411984598213,0.015408650840642418,0.015364114335921842,0.015357530236654418,0.015344875278022821,0.015237863605435085,0.014948256918831646,0.014437228796212528,0.013555857055091883,0.013111442791849686,0.012941004446235194,0.012742914403455433,0.012500652633955504,0.012501109245017725,0.012513799215044108
0.7,0.017406753334221984,0.016818074897488763,0.016420049368764338,0.015974140751859704,0.01564319340282919,0.01544629260577105,0.015407450852102138,0.015362726659094307,0.015355968373332371,0.015343224750700404,0.015236215183590248,0.014946786426552576,0.014436017444777365,0.01355524639975272,0.013111282708712941,0.012941045954221799,0.012743092065658967,0.01250095281490211,0.012501578733098097,0.012514411942440573
0.701,0.01740423966135203,0.01681602543229509,0.01641828845426015,0.015972710597857473,0.015642018011614304,0.015445173226943889,0.015406250863561859,0.015361338982266774,0.015354406510010323,0.015341574223377985,0.01523456676174541,0.014945315934273506,0.014434806093342203,0.013554635744413557,0.013111122625576198,0.012941087462208404,0.012743269727862503,0.012501252995848713,0.01250204822117847,0.012515024669837038
0.705,0.017394184969872214,0.01680782757152039,0.016411244796243406,0.01596698998184854,0.01563731644675477,0.015440695711635238,0.015401450909400743,0.015355788274956633,0.015348159056722138,0.01533497211408831,0.01522797307436606,0.014939433965157227,0.014429960687601552,0.013552193123056907,0.01311048229302922,0.012941253494154823,0.012743980376676642,0.012502453719635133,0.012503926173499958,0.012517475579422899
0.71,0.017381616605522447,0.01679758024555202,0.016402440223722475,0.01595983921183738,0.01563143949068035,0.015435098817499424,0.015395450966699347,0.015348849890818958,0.015340349740111905,0.015326719477476217,0.015219730965141875,0.01493208150376188,0.014423903930425738,0.013549139846361092,0.0131096818773455,0.012941461034087845,0.012744868687694316,0.012503954624368156,0.012506273613901818,0.012520539216405224
0.72,0.017356479876822914,0.016777085593615276,0.016384831078680617,0.015945537671815054,0.015619685578531514,0.015423905029227795,0.015383451081296557,0.01533497312254361,0.01532473110689144,0.015310214204252031,0.015203246746693502,0.01491737658097118,0.01441179041607411,0.013543033292969464,0.013108081045978057,0.012941876113953893,0.012746645309729665,0.012506956433834203,0.012510968494705538,0.012526666490369875
0.75,0.017281069690724307,0.01671560163780504,0.016332003643555033,0.015902633051748077,0.015584423842085002,0.015390323664412911,0.015347451425088185,0.015293342817717564,0.015277875207230045,0.015260698384579472,0.015153794091348387,0.014873261812599087,0.014375449873019227,0.013524713632794581,0.013103278551875732,0.012943121353552032,0.012751975175835711,0.012515961862232342,0.012525053137116701,0.012545048312263829
