,skin,fat,muscle,ijv,cca
130,28.0,12.166666666666668,7.75,52.0,52.0
131,28.0,12.166666666666668,7.75,44.75,44.75
132,28.0,12.166666666666668,7.75,37.5,37.5
133,28.0,12.166666666666668,7.75,30.25,30.25
134,28.0,12.166666666666668,7.75,23.0,23.0
135,28.0,12.166666666666668,6.5,52.0,52.0
136,28.0,12.166666666666668,6.5,44.75,44.75
137,28.0,12.166666666666668,6.5,37.5,37.5
138,28.0,12.166666666666668,6.5,30.25,30.25
139,28.0,12.166666666666668,6.5,23.0,23.0
140,28.0,12.166666666666668,5.25,52.0,52.0
141,28.0,12.166666666666668,5.25,44.75,44.75
142,28.0,12.166666666666668,5.25,37.5,37.5
143,28.0,12.166666666666668,5.25,30.25,30.25
144,28.0,12.166666666666668,5.25,23.0,23.0
145,28.0,12.166666666666668,4.0,52.0,52.0
146,28.0,12.166666666666668,4.0,44.75,44.75
147,28.0,12.166666666666668,4.0,37.5,37.5
148,28.0,12.166666666666668,4.0,30.25,30.25
149,28.0,12.166666666666668,4.0,23.0,23.0
150,28.0,10.0,9.0,52.0,52.0
151,28.0,10.0,9.0,44.75,44.75
152,28.0,10.0,9.0,37.5,37.5
153,28.0,10.0,9.0,30.25,30.25
154,28.0,10.0,9.0,23.0,23.0
155,28.0,10.0,7.75,52.0,52.0
156,28.0,10.0,7.75,44.75,44.75
157,28.0,10.0,7.75,37.5,37.5
158,28.0,10.0,7.75,30.25,30.25
159,28.0,10.0,7.75,23.0,23.0
160,28.0,10.0,6.5,52.0,52.0
161,28.0,10.0,6.5,44.75,44.75
162,28.0,10.0,6.5,37.5,37.5
163,28.0,10.0,6.5,30.25,30.25
164,28.0,10.0,6.5,23.0,23.0
165,28.0,10.0,5.25,52.0,52.0
166,28.0,10.0,5.25,44.75,44.75
167,28.0,10.0,5.25,37.5,37.5
168,28.0,10.0,5.25,30.25,30.25
169,28.0,10.0,5.25,23.0,23.0
170,28.0,10.0,4.0,52.0,52.0
171,28.0,10.0,4.0,44.75,44.75
172,28.0,10.0,4.0,37.5,37.5
173,28.0,10.0,4.0,30.25,30.25
174,28.0,10.0,4.0,23.0,23.0
175,25.0,23.0,9.0,52.0,52.0
176,25.0,23.0,9.0,44.75,44.75
177,25.0,23.0,9.0,37.5,37.5
178,25.0,23.0,9.0,30.25,30.25
179,25.0,23.0,9.0,23.0,23.0
180,25.0,23.0,7.75,52.0,52.0
181,25.0,23.0,7.75,44.75,44.75
182,25.0,23.0,7.75,37.5,37.5
183,25.0,23.0,7.75,30.25,30.25
184,25.0,23.0,7.75,23.0,23.0
185,25.0,23.0,6.5,52.0,52.0
186,25.0,23.0,6.5,44.75,44.75
187,25.0,23.0,6.5,37.5,37.5
